name,position,age,height,league_rank,average_market_value,highest_market_value,team_fifa_points,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,overall,data_year
James Milner,Midfield,34,175,1,8833333.333333332,12000000.0,134.0,1404,43.875,0.09375,3,0.0021367521367521,0.0625,2,0.0014245014245014,7,0.7872340425531915,80.0,2021
Zlatan Ibrahimović,Attack,38,195,4,3150000.0,3500000.0,38.0,810,81.0,0.1,1,0.0012345679012345,0.4,4,0.0049382716049382,3,0.4375,83.0,2021
Hilton,Defender,42,180,5,100000.0,100000.0,0.0,2511,89.67857142857143,0.0714285714285714,2,0.0007964954201513,0.0,0,0.0,2,0.3928571428571428,77.0,2021
Niklas Moisander,Defender,34,183,2,1350000.0,1500000.0,0.0,2250,90.0,0.04,1,0.0004444444444444,0.04,1,0.0004444444444444,6,0.2894736842105263,75.0,2021
Gianluigi Buffon,Goalkeeper,42,192,4,1000000.0,1000000.0,107.0,1170,90.0,0.0,0,0.0,0.0,0,0.0,0,0.7142857142857143,82.0,2021
Yohann Pelé,Goalkeeper,37,196,5,250000.0,250000.0,44.0,149,74.5,0.0,0,0.0,0.0,0,0.0,0,0.5714285714285714,72.0,2021
Christian Fuchs,Defender,34,187,1,1800000.0,2000000.0,23.0,747,74.7,0.0,0,0.0,0.0,0,0.0,0,0.5428571428571428,73.0,2021
Francesco Magnanelli,Midfield,35,181,4,725000.0,800000.0,0.0,1006,62.875,0.0,0,0.0,0.0,0,0.0,4,0.3333333333333333,75.0,2021
Pepe Reina,Goalkeeper,37,188,1,725000.0,800000.0,0.0,630,90.0,0.0,0,0.0,0.0,0,0.0,1,0.2121212121212121,79.0,2021
Cristiano Ronaldo,Attack,35,187,4,67500000.0,75000000.0,107.0,3271,88.4054054054054,0.1621621621621621,6,0.0018343014368694,0.7567567567567567,28,0.0085600733720574,2,0.7142857142857143,92.0,2021
Philipp Pentke,Goalkeeper,35,191,2,300000.0,300000.0,23.0,540,90.0,0.0,0,0.0,0.0,0,0.0,1,0.4594594594594595,73.0,2021
Cesc Fàbregas,Midfield,33,179,5,9125000.0,12000000.0,26.0,935,51.94444444444444,0.1666666666666666,3,0.0032085561497326,0.0,0,0.0,1,0.3928571428571428,75.0,2021
Wes Morgan,Defender,36,185,1,1350000.0,1500000.0,23.0,276,27.6,0.0,0,0.0,0.0,0,0.0,0,0.5428571428571428,73.0,2021
Uwe Hünemeier,Defender,34,189,2,362500.0,400000.0,0.0,1329,78.17647058823529,0.0,0,0.0,0.1176470588235294,2,0.00150489089541,7,0.1388888888888889,68.0,2021
Ramiro Funes Mori,Defender,29,187,3,5400000.0,6000000.0,78.0,932,77.66666666666667,0.0,0,0.0,0.0833333333333333,1,0.0010729613733905,2,0.5135135135135135,75.0,2021
Lionel Carole,Defender,29,182,5,2250000.0,2500000.0,2.5,1632,74.18181818181819,0.0,0,0.0,0.0,0,0.0,3,0.4375,72.0,2021
Ludovic Butelle,Goalkeeper,37,188,5,250000.0,250000.0,0.0,2340,90.0,0.0,0,0.0,0.0,0,0.0,0,0.3928571428571428,73.0,2021
Éver Banega,Midfield,32,174,3,10333333.333333332,15000000.0,91.0,2406,68.74285714285715,0.2,7,0.0029093931837073,0.0571428571428571,2,0.0008312551953449,8,0.5111111111111111,83.0,2021
Alexander Tettey,Midfield,34,181,1,1800000.0,2000000.0,0.0,2021,77.73076923076923,0.0384615384615384,1,0.0004948045522018,0.0384615384615384,1,0.0004948045522018,4,0.2285714285714285,71.0,2021
Silvio Proto,Goalkeeper,37,184,4,362500.0,400000.0,53.0,270,90.0,0.0,0,0.0,0.0,0,0.0,0,0.6578947368421053,75.0,2021
Goran Pandev,Attack,36,184,4,362500.0,400000.0,0.0,1193,45.88461538461539,0.0384615384615384,1,0.0008382229673093,0.2692307692307692,7,0.0058675607711651,6,0.25,72.0,2021
Alessio Cragno,Goalkeeper,26,184,4,18000000.0,20000000.0,0.0,540,90.0,0.0,0,0.0,0.0,0,0.0,0,0.3870967741935484,81.0,2021
Bruno Alves,Defender,38,189,4,900000.0,1000000.0,0.0,2155,86.2,0.0,0,0.0,0.0,0,0.0,3,0.4193548387096774,72.0,2021
Lee Grant,Goalkeeper,37,193,1,675000.0,750000.0,105.0,90,90.0,0.0,0,0.0,0.0,0,0.0,0,0.5217391304347826,70.0,2021
Phil Jagielka,Defender,37,180,1,900000.0,1000000.0,0.0,398,56.85714285714285,0.0,0,0.0,0.0,0,0.0,0,0.4,72.0,2021
Ben Foster,Goalkeeper,37,193,1,1350000.0,1500000.0,0.0,2880,90.0,0.0,0,0.0,0.0,0,0.0,1,0.1764705882352941,79.0,2021
Ashley Young,Defender,34,175,4,3600000.0,4000000.0,67.0,1942,71.92592592592592,0.074074074074074,2,0.0010298661174047,0.074074074074074,2,0.0010298661174047,8,0.6,77.0,2021
Aaron Lennon,Attack,33,165,1,2700000.0,3000000.0,2.5,666,37.0,0.0555555555555555,1,0.0015015015015015,0.0,0,0.0,4,0.4117647058823529,73.0,2021
Raúl Albiol,Defender,34,190,3,3600000.0,4000000.0,78.0,2998,90.84848484848484,0.0,0,0.0,0.0303030303030303,1,0.0003335557038025,9,0.5135135135135135,82.0,2021
Phil Bardsley,Defender,35,180,1,900000.0,1000000.0,2.5,1350,90.0,0.0666666666666666,1,0.0007407407407407,0.0,0,0.0,4,0.4117647058823529,73.0,2021
David Martin,Goalkeeper,34,188,1,250000.0,250000.0,21.0,435,87.0,0.0,0,0.0,0.0,0,0.0,1,0.2424242424242424,66.0,2021
Jesús Navas,Defender,34,170,3,3600000.0,4000000.0,91.0,3340,87.89473684210526,0.1842105263157894,7,0.0020958083832335,0.0,0,0.0,5,0.5111111111111111,84.0,2021
Dante,Defender,36,188,5,900000.0,1000000.0,9.0,1890,90.0,0.0,0,0.0,0.0476190476190476,1,0.0005291005291005,7,0.3928571428571428,76.0,2021
Casemiro,Midfield,28,185,3,71333333.33333333,80000000.0,124.0,3480,89.23076923076923,0.1025641025641025,4,0.0011494252873563,0.1282051282051282,5,0.0014367816091954,12,0.6363636363636364,89.0,2021
Rouwen Hennings,Attack,32,180,2,2250000.0,2500000.0,0.0,2879,79.97222222222223,0.0,0,0.0,0.5277777777777777,19,0.0065995137200416,4,0.2368421052631578,75.0,2021
Ken Reichel,Defender,33,185,2,450000.0,500000.0,5.0,534,76.28571428571429,0.0,0,0.0,0.0,0,0.0,0,0.3947368421052631,69.0,2021
